i,k,error,var,max_erate
136,26,0.04,3.8798989898989906e-4,0.14
137,3,0.11,9.74848484848485e-5,0.15
138,20,0.07,2.1616161616161617e-4,0.16
139,87,0.08,2.1263636363636363e-4,0.18
140,7,0.05,5.667676767676764e-5,0.1
141,66,0.1,1.643939393939394e-4,0.18
142,82,0.1,1.8888888888888888e-4,0.18
143,4,0.12,1.611717171717171e-4,0.18
144,36,0.06,1.4347474747474745e-4,0.13
145,68,0.07,3.8783838383838387e-4,0.16
146,32,0.05,1.4747474747474747e-4,0.12
147,2,0.05,7.493939393939392e-5,0.11
148,79,0.1,3.0024242424242433e-4,0.21
149,6,0.06,9.150505050505053e-5,0.12
150,46,0.06,2.0226262626262627e-4,0.17
151,11,0.11,1.4812121212121206e-4,0.19
152,12,0.05,3.435454545454545e-4,0.15
153,18,0.04,2.2297979797979798e-4,0.15
154,14,0.1,2.4318181818181817e-4,0.22
155,19,0.07,1.1337373737373736e-4,0.13
156,4,0.08,2.0221212121212127e-4,0.15
157,22,0.02,9.074747474747476e-5,0.08
158,31,0.04,1.7651515151515153e-4,0.14
159,4,0.07,4.242424242424242e-5,0.11
160,7,0.06,1.8226262626262621e-4,0.15
161,8,0.09,1.715050505050505e-4,0.15
162,35,0.08,1.801616161616162e-4,0.16
163,5,0.05,1.2495959595959597e-4,0.1
164,13,0.11,2.8824242424242425e-4,0.2
165,7,0.07,7.857575757575755e-5,0.13
166,28,0.09,8.989898989898987e-5,0.13
167,11,0.06,1.0596969696969696e-4,0.14
168,41,0.07,2.524848484848485e-4,0.16
169,17,0.07,2.4185858585858586e-4,0.19
170,6,0.06,1.0152525252525253e-4,0.12
171,88,0.03,2.2685858585858585e-4,0.12
172,12,0.12,1.8686868686868685e-4,0.2
173,24,0.03,2.1135353535353538e-4,0.14
174,88,0.11,1.706161616161617e-4,0.17
175,20,0.06,1.522828282828283e-4,0.13
176,6,0.1,1.2140404040404035e-4,0.17
177,5,0.13,1.4747474747474744e-4,0.18
178,6,0.07,4.096969696969697e-5,0.13
179,88,0.07,8.65757575757576e-5,0.13
180,34,0.1,2.658181818181819e-4,0.17
181,19,0.09,2.857676767676768e-4,0.18
182,46,0.13,3.441919191919191e-4,0.22
183,8,0.06,1.775656565656566e-4,0.13
184,8,0.05,1.673838383838384e-4,0.11
185,37,0.07,9.586868686868686e-5,0.11
186,13,0.02,1.9534343434343435e-4,0.1
187,44,0.09,1.2140404040404042e-4,0.17
188,22,0.04,2.312222222222222e-4,0.16
189,3,0.08,9.271717171717172e-5,0.13
190,40,0.08,9.069696969696968e-5,0.13
191,18,0.07,2.1182828282828283e-4,0.17
192,6,0.1,1.5612121212121223e-4,0.19
193,7,0.09,1.1086868686868684e-4,0.15
194,26,0.04,1.2196969696969699e-4,0.1
195,3,0.11,2.1256565656565656e-4,0.17
196,24,0.05,2.178181818181818e-4,0.14
197,11,0.06,2.785454545454545e-4,0.16
198,60,0.1,4.3510101010101006e-4,0.19
199,6,0.1,1.4949494949494956e-4,0.16
200,22,0.07,9.150505050505049e-5,0.12
