Coefficients,Estimate,Std. Error,z value,Pr(>|Z|)
(Intercept),658305597766028,971394.7555062306,677691117.8843662,0
total_income,174335495316725.6,1667475.9645584049,104550529.67608717,0
fte_employees_on_payroll,744267727907429.6,3289614.420292395,226247709.55414158,0
salaries,2737959306506544.5,3725566.3607435273,734910894.4499161,0
total_days,254270763939780.84,2645218.7718402585,96124663.35360482,0
total_days_sq,-89155418504501.17,360959.8158996788,-246995412.16876078,0
income_emp,-28309178118539.145,259889.15572306,-108927892.8925593,0
sal_emp,-251217274133110.5,333727.56075100676,-752761544.6796827,0
